duration,rms,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
1.984,0.009937737,0.11350841828208556,-617.0043,92.439224,8.950712,16.887564,15.719964,-3.3500938,-4.546832,-7.973467,-4.7548842,2.6235054,-1.3869908,-6.4611993,-10.612356,hey_tvs
1.984,0.0061538587,0.1980829085895722,-690.7552,53.95665,-25.889153,8.74751,11.976284,-7.761998,0.047988933,-8.012802,-7.607576,6.967696,-0.8910191,-8.706022,-4.3652706,hey_tvs
1.984,0.007880113,0.200393758355615,-674.73004,59.026676,-27.021118,11.140543,13.93322,-8.877271,-0.71074396,-8.853386,-8.391029,5.8789277,-3.9399672,-10.441897,-3.577574,hey_tvs
1.984,0.007333405,0.18716838653074866,-676.29047,66.93566,-27.913979,12.606286,19.218246,-7.198545,-3.5724397,-11.451759,-8.4727955,6.5600495,-4.715333,-11.897319,-3.722839,hey_tvs
1.984,0.008032062,0.17980238970588236,-661.90125,65.02005,-22.180006,15.475098,21.29481,-6.351525,-4.7384205,-9.90863,-6.5209465,6.2978044,-4.444051,-11.714804,-4.648922,hey_tvs
1.984,0.0062080827,0.17810776654411764,-686.41266,64.598785,-21.334644,13.129799,17.185797,-6.899581,-2.3145118,-8.411755,-5.741139,7.6180654,-3.3533087,-10.64608,-3.466985,hey_tvs
1.984,0.012549352,0.13770053475935828,-584.75946,74.88064,-8.903102,18.501875,18.183613,-5.6587768,1.0432404,-2.0066442,-6.7695365,-2.0703743,-2.8769135,-5.713563,-13.110041,hey_tvs
1.984,0.0115448255,0.13571607620320855,-595.1087,72.07798,-10.123432,15.577682,18.637611,-3.5803826,1.5642619,-1.6765853,-6.393514,-0.03073528,-0.809949,-7.058022,-14.594578,hey_tvs
1.984,0.013270498,0.14276351520721925,-590.83044,75.70636,-10.886794,15.733339,17.11199,-4.19496,2.011,-4.737513,-8.336256,1.3678282,-0.82322407,-7.5833955,-14.185068,hey_tvs
1.984,0.014691601,0.1526257520053476,-585.39575,73.74504,-16.603306,15.924528,20.431154,-3.3412535,1.4177077,-4.374966,-6.721305,2.3645754,-0.81782025,-7.9574714,-15.445173,hey_tvs
1.984,0.015579824,0.20560296206550802,-594.3976,73.86614,-20.094196,13.367468,19.528608,-4.8006983,-0.61811006,-4.9589357,-6.191051,1.8221109,-1.2501476,-6.4260306,-14.127484,hey_tvs
1.984,0.023138503,0.19711417947860962,-502.2671,46.402084,-21.038769,14.109618,10.68472,-17.705667,-8.514025,-11.141377,-14.353771,0.5160371,-3.2072752,-13.85762,-8.338349,hey_tvs
1.984,0.021021025,0.17567941594251338,-511.10602,50.12209,-24.770857,12.530267,12.182225,-15.572357,-9.028951,-13.506577,-12.289703,3.5325575,-5.222138,-15.407486,-7.3529215,hey_tvs
1.984,0.027134798,0.18274513285427807,-489.26053,47.25285,-18.043959,13.930444,9.752219,-16.649458,-9.638797,-11.609489,-8.678558,4.058397,-6.560526,-14.6232195,-5.7554483,hey_tvs
1.984,0.021730747,0.1987017463235294,-510.69693,41.23859,-21.427277,17.38309,11.586906,-16.893415,-7.5982714,-11.517195,-10.60395,4.2696443,-6.533582,-16.02739,-5.424417,hey_tvs
1.984,0.014543526,0.18151529077540107,-528.9739,44.16195,-20.765127,14.0102825,9.026004,-15.642734,-6.171638,-10.108541,-8.517214,5.2023535,-5.9595575,-14.978318,-5.160316,hey_tvs
1.984,0.009073048,0.21959339488636365,-648.53845,58.978176,-16.315516,9.043719,5.0452337,-2.7080576,9.149217,-4.3399105,-3.5501654,3.3951325,-4.839469,-1.7728788,-6.2627254,hey_tvs
1.984,0.007974953,0.19423149231283424,-653.29553,59.789658,-7.123123,9.316136,7.0301414,-0.47225845,5.872987,-4.889931,-3.5085928,1.8890979,-3.8661358,-1.1542507,-5.6726074,hey_tvs
1.984,0.008975315,0.1569497827540107,-632.35425,77.16806,-5.828369,6.7802997,8.091774,-0.09546241,3.395215,-7.825411,-5.0723524,2.1972954,-3.3625455,-1.7496786,-6.973118,hey_tvs
1.984,0.009609384,0.20865798379010694,-633.5152,58.43269,-14.929867,5.788111,8.7882595,1.2001324,6.3155823,-4.9866977,-3.8374987,2.0640395,-2.5152085,0.6477993,-6.0320163,hey_tvs
1.984,0.009161587,0.18049695020053477,-639.47845,64.189095,-10.848801,8.584861,9.904567,0.15785421,4.748209,-4.679029,-2.2982183,1.9550278,-4.3926473,-0.4925162,-5.3455195,hey_tvs
